HIP,RAhms,DEdms,Vmag,SpType,HD
840,"00 10 18.85","-05 14 54.7",5.84,"K1III",587
841,"00 10 19.24","+46 04 20.2",5.01,"F2II",571
857,"00 10 29.66","+57 09 55.8",6.74,"B7IV",584
858,"00 10 32.42","+33 07 51.2",6.83,"K4III",613
860,"00 10 34.65","+59 40 24.3",6.7,"B1V",593
865,"00 10 38.31","-73 13 28.0",6.66,"F3/F5IV+...",661
873,"00 10 42.75","-12 34 47.3",5.84,"K0III",645
881,"00 10 46.84","-34 51 38.6",6.89,"K0III",656
902,"00 11 07.90","+57 35 16.5",6.68,"K1III",663
906,"00 11 09.63","-03 19 16.9",6.74,"G5",688
910,"00 11 15.91","-15 28 02.4",4.89,"F5V",693
930,"00 11 34.42","-27 47 59.2",5.41,"K2III",720
932,"00 11 35.30","-18 36 02.4",6.93,"K0III",731
950,"00 11 43.89","-35 08 00.2",5.24,"F3/F5V",739
966,"00 11 56.13","-42 10 19.3",6.53,"K0III",770
967,"00 11 59.03","+48 09 08.5",6.18,"K4III",743
969,"00 12 01.32","+23 28 18.3",6.58,"K0III",756
973,"00 12 03.02","-13 48 47.3",6.56,"K0III",780
981,"00 12 08.05","+53 37 26.1",6.87,"F0",761
983,"00 12 09.95","-17 56 17.6",5.29,"K4III",787
1009,"00 12 34.08","+44 42 26.1",6.5,"K0",800
1026,"00 12 47.96","+46 05 43.6",6.63,"F2",818
1030,"00 12 50.24","+37 41 37.2",6.71,"B2V",829
1046,"00 13 03.91","-22 28 12.8",6.66,"G8/K0III",877
1057,"00 13 09.51","+16 55 17.9",6.52,"K1III",874
1063,"00 13 12.64","+62 02 27.3",6.63,"Am...",861
1067,"00 13 14.15","+15 11 01.0",2.83,"B2IV",886
1074,"00 13 19.55","-84 59 38.5",5.78,"M0/M1III",1032
1076,"00 13 23.93","+26 59 15.4",6.24,"G0III",895
1086,"00 13 30.94","+41 02 08.6",5.71,"F0IV",905
1096,"00 13 42.22","-26 01 19.8",5.94,"K5III",942
1099,"00 13 44.38","-26 17 05.9",6.14,"K4III",943
1101,"00 13 45.10","-48 41 02.9",6.97,"A5IV",957
1102,"00 13 45.42","-23 12 52.6",6.86,"K1IIICNIV",941
1107,"00 13 47.59","+01 23 01.0",6.79,"K0",940
1118,"00 13 56.18","+59 59 57.6",6.91,"G8II",936
1123,"00 14 02.29","+33 12 21.9",6.22,"A1V",952
1126,"00 14 04.06","-74 54 43.4",6.97,"K2III",1025
1140,"00 14 14.71","-55 04 10.5",6.66,"F5IV/V",1004
1146,"00 14 20.81","-62 46 19.1",6.63,"M1III",1022
1147,"00 14 20.85","-21 11 47.0",6.89,"F7V",1000
1158,"00 14 27.59","-07 46 49.9",5.13,"M3IIIvar",1014
1161,"00 14 28.07","-14 25 53.3",6.95,"F5V",1015
1164,"00 14 33.69","+41 01 57.3",6.68,"K0",995
1168,"00 14 36.11","+20 12 24.1",4.79,"M2III",1013
1170,"00 14 38.43","-18 55 57.7",4.44,"M1III",1038
1176,"00 14 40.39","-14 48 18.5",6.63,"G8III/IV",1037
1185,"00 14 48.25","-14 10 39.3",6.82,"A7III",1051
1191,"00 14 54.50","-09 34 10.4",5.77,"B9V",1064
1192,"00 14 55.79","-03 01 38.5",6.64,"M0",1063
1193,"00 14 55.87","+22 17 03.3",6.25,"A1p",1048
1195,"00 14 58.21","-34 54 15.1",6.17,"K3III",1089
1196,"00 14 58.78","+08 49 15.7",6.02,"F0IV",1061
1208,"00 15 06.93","+31 32 08.7",6.34,"K5",1075
1215,"00 15 10.55","+27 17 00.5",6.35,"A1Vn",1083
1233,"00 15 17.83","+44 12 12.2",6.76,"B9",1082
1249,"00 15 38.60","+05 50 37.8",6.98,"K0",1133
1269,"00 15 54.87","+61 00 00.7",6.43,"G8III...",1142
1268,"00 15 54.94","-75 54 41.8",6.49,"G8/K0III",1221
1288,"00 16 08.79","-31 26 46.8",5.66,"K2III",1187
1292,"00 16 11.24","-79 51 03.7",6.59,"G6V",1237
1296,"00 16 13.88","+76 57 02.7",6.35,"B9Vn",1141
1302,"00 16 21.50","+43 35 42.4",6.12,"A2V",1185
1319,"00 16 34.06","+08 14 24.7",6.12,"G8II-III",1227
1325,"00 16 39.42","+01 51 02.1",6.98,"M5III",1228
1330,"00 16 42.08","-32 41 18.1",6.67,"K0III",1259
1331,"00 16 42.35","-20 12 36.2",6.5,"B6III/IV",1256
1333,"00 16 43.05","+36 37 47.5",6.99,"A0",1223
1339,"00 16 45.68","+10 14 41.1",6.51,"M2III:",1255
1342,"00 16 48.19","-78 46 48.3",6.78,"F3III",1324
1349,"00 16 53.59","-52 39 05.7",6.84,"G2V",1273
1352,"00 16 53.97","+49 27 42.9",6.52,"M0",1240
1353,"00 16 54.97","+23 15 22.4",6.95,"K0III-IV",1254
1354,"00 16 57.05","+61 31 59.5",5.74,"G8III",1239
1366,"00 17 05.54","+38 40 54.0",4.61,"A2V",1280
1372,"00 17 09.04","+47 56 50.7",5.86,"B7III",1279
1392,"00 17 24.50","+08 52 34.8",6.66,"F5",1317
1402,"00 17 32.69","-19 03 03.9",6.46,"F3V",1343
1415,"00 17 43.07","+51 25 59.1",6.11,"O9IIInn",1337
1421,"00 17 47.65","+01 41 19.3",6.19,"K0II",1367
1429,"00 17 51.23","+20 13 37.3",6.91,"M4II-III",1364
1439,"00 17 56.31","+12 46 17.4",6.54,"G8II",1375
1444,"00 17 58.63","-13 27 20.3",6.51,"G2V",1388
1456,"00 18 09.19","+46 12 51.7",6.83,"K0",1374
1464,"00 18 16.95","-21 08 18.4",6.69,"B9/B9.5IV",1431
1465,"00 18 17.27","+11 12 22.6",6.07,"K0III",1419
1469,"00 18 18.41","-36 30 35.6",6.67,"K2III",1434
1473,"00 18 19.71","+36 47 07.2",4.51,"A2V",1404
1486,"00 18 28.78","+62 12 10.1",6.97,"K7Iab:",1400
1493,"00 18 38.22","+31 31 02.0",5.88,"A0IV",1439
1499,"00 18 41.62","-08 03 09.5",6.47,"G0V",1461
1501,"00 18 42.15","+43 47 28.1",6.1,"B8V",1438
1502,"00 18 42.52","-43 14 08.1",6.33,"K2III",1483
1562,"00 19 25.68","-08 49 25.8",3.56,"K2III",1522
1575,"00 19 41.58","+40 43 46.2",6.35,"K1III",1527
1587,"00 19 50.88","-02 28 44.3",6.96,"G5",1567
1595,"00 19 56.28","+16 15 03.2",6.6,"K0",1563
1598,"00 20 00.51","+38 13 41.0",6.97,"G0",1562
1599,"00 20 01.91","-64 52 39.4",4.23,"F9V",1581
1600,"00 20 02.93","-17 42 01.5",6.73,"K1III/IV",1588
1602,"00 20 05.06","+06 17 33.4",6.81,"K0",1585
1603,"00 20 05.17","+48 51 55.7",6.53,"A0Vs",1561
1611,"00 20 10.52","-13 03 41.4",6.85,"G8III",1594
1630,"00 20 24.39","+30 56 08.2",5.89,"B7V",1606
1639,"00 20 30.92","+48 58 07.1",6.46,"G0",1601
1644,"00 20 34.11","+56 33 25.1",6.73,"G5",1598
1645,"00 20 35.86","+08 11 24.9",5.38,"K3III",1635
1647,"00 20 39.04","-69 37 29.7",5.5,"B9V",1685
1652,"00 20 43.56","+61 52 46.5",6.8,"M2II:",1613
1657,"00 20 45.54","+32 54 40.4",5.79,"K5III",1632
1660,"00 20 48.58","-23 37 48.8",6.78,"F0IV",1667
1669,"00 20 54.12","+32 58 41.4",6.9,"F5",1641
1670,"00 20 54.61","+10 58 37.1",6.57,"A0V",1663
1684,"00 21 04.23","-02 54 34.6",6.92,"K0",1679
