HIP,RAhms,DEdms,Vmag,SpType,HD
13621,"02 55 28.21","+73 22 16.2",6.58,"G5",17696
13626,"02 55 29.59","-25 18 16.2",6.59,"K1/K2IIICN.",18290
13629,"02 55 31.56","+02 01 05.9",6.6,"B8.5V",18216
13645,"02 55 41.27","+31 02 35.3",6.89,"M3II-III",18142
13654,"02 55 48.50","+18 19 54.0",5.76,"M6IIIvar",18191
13665,"02 55 56.74","+61 31 15.8",5.59,"F4V",17948
13679,"02 56 13.73","+08 22 54.4",5.97,"F7IV",18262
13684,"02 56 15.94","+29 09 50.8",6.55,"G8III",18202
13700,"02 56 24.66","+64 19 56.8",6.17,"K3Ibvar",17958
13701,"02 56 25.60","-08 53 51.4",3.89,"K1III-IV",18322
13702,"02 56 25.98","+18 01 25.1",5.58,"F6V",18256
13713,"02 56 33.30","+47 09 50.4",6.05,"K3III:",18155
13717,"02 56 37.45","-03 42 44.0",5.16,"A3Vn",18331
13727,"02 56 48.46","-35 22 40.1",6.58,"G8III/IV",18446
13732,"02 56 50.66","+51 15 40.9",6.22,"K5III",18153
13756,"02 57 04.56","+04 30 03.5",6.15,"M4III",18345
13765,"02 57 10.34","+00 26 52.1",6.63,"A5Ib",18369
13768,"02 57 12.91","-29 51 19.0",6.29,"A2/A3V:+...",18466
13775,"02 57 17.28","+31 56 03.5",5.1,"B9p...",18296
13782,"02 57 23.70","-23 51 43.5",5.44,"A5IV/V",18454
13786,"02 57 28.61","+16 17 37.7",6.9,"K0",18357
13789,"02 57 32.63","-38 11 27.4",6.41,"A0Vn",18546
13794,"02 57 36.72","-55 00 48.1",6.74,"F0IV",18637
13828,"02 57 58.55","+64 25 08.7",6.63,"G5",18137
13832,"02 58 02.33","+38 36 53.9",6.06,"K3III",18339
13834,"02 58 05.08","+20 40 07.7",5.8,"F5IV",18404
13835,"02 58 05.69","-23 36 22.1",5.82,"K2III",18535
13843,"02 58 12.54","-12 00 20.9",6.51,"K0III",18511
13847,"02 58 15.72","-40 18 17.0",2.88,"A4III+...",18622
13851,"02 58 18.76","+32 27 38.6",6.61,"K0",18393
13874,"02 58 42.09","-02 46 57.8",5.22,"A2IV",18543
13879,"02 58 45.65","+39 39 46.2",4.68,"A2Vn",18411
13883,"02 58 47.31","-09 46 35.3",6.14,"A2m",18557
13884,"02 58 47.77","-64 04 16.7",4.98,"A5III",18866
13887,"02 58 49.34","+43 21 52.5",6.65,"K0",18392
13892,"02 58 53.05","+21 37 04.0",6.69,"A3",18484
13897,"02 58 56.83","+77 04 48.5",6.88,"G0",17889
13904,"02 59 01.35","-34 11 20.6",6.69,"K5/M0III",18660
13905,"02 59 03.71","+35 10 59.2",4.94,"K2III",18449
13907,"02 59 06.49","-28 54 25.5",6.14,"K1III",18650
13909,"02 59 08.27","-55 33 54.9",6.85,"K2/K3III",18795
13914,"02 59 12.73","+21 20 25.6",4.63,"A2Vs",18519
13939,"02 59 34.56","-53 54 30.9",6.85,"K2III",18829
13942,"02 59 36.07","-25 16 27.6",5.69,"F3V",18692
13944,"02 59 36.39","-07 10 47.5",6.62,"K0",18634
13947,"02 59 38.30","-32 30 26.0",6.32,"A0V",18735
13949,"02 59 39.87","+41 01 59.0",5.89,"K2",18482
13951,"02 59 41.16","-02 27 53.6",5.56,"B9.5V",18633
13954,"02 59 42.90","+08 54 26.6",4.71,"B6III",18604
13959,"02 59 47.37","+61 17 23.8",6.84,"B1V",18352
13962,"02 59 48.72","+57 39 47.7",6.86,"G0Ia",18391
13965,"02 59 49.78","+47 13 14.3",5.47,"G4p",18474
13997,"03 00 11.88","+38 07 54.5",6.11,"B8Vn",18552
14021,"03 00 31.51","+18 00 18.1",6.74,"A0",18654
14036,"03 00 44.09","+10 52 13.7",5.93,"K6",18700
14040,"03 00 50.88","-02 52 43.1",6.11,"M2III",18760
14043,"03 00 52.18","+52 21 06.5",5.24,"B7V",18537
14047,"03 00 53.49","+52 21 07.5",6.64,"B9V",18538
14060,"03 01 09.97","-07 39 46.2",5.75,"K0II",18784
14063,"03 01 11.42","+40 47 47.9",6.92,"K5",18641
14081,"03 01 29.06","+32 24 45.9",6.6,"A7IVvar+...",18715
14086,"03 01 37.45","-28 05 25.7",5.88,"G8/K0V",18907
14104,"03 01 52.28","+05 20 10.0",6.24,"K0",18832
14107,"03 01 53.21","+38 52 41.6",6.64,"A3",18730
14109,"03 01 54.15","+26 27 44.4",5.91,"A3m",18769
14110,"03 01 56.09","-09 57 41.0",5.84,"G6III:",18885
14124,"03 02 09.23","-06 29 39.1",6.2,"G0IV-V",18894
14131,"03 02 15.40","-71 54 09.0",5.51,"B8III/IV",19400
14135,"03 02 16.78","+04 05 23.7",2.54,"M2III",18884
14143,"03 02 22.51","+04 21 10.3",5.62,"B7V",18883
14146,"03 02 23.59","-23 37 27.6",4.08,"A4V",18978
14150,"03 02 25.87","+26 36 34.7",6.62,"G8V",18803
14168,"03 02 42.26","-07 41 07.7",5.32,"K0II-III",18953
14181,"03 02 52.21","+47 06 38.5",6.72,"F8",18768
14187,"03 02 55.84","-46 58 30.2",5.81,"K2/K3III",19141
14228,"03 03 28.17","+06 13 36.6",6.72,"F0",18995
14232,"03 03 30.11","+28 16 11.8",6.38,"F0V",18928
14240,"03 03 36.90","-59 44 15.4",5.12,"F0IV",19319
14258,"03 03 50.68","+06 07 59.4",6.92,"F8",19019
14262,"03 03 55.22","-43 53 53.0",6.69,"K3III",19215
14264,"03 03 56.75","+47 50 54.6",6.48,"F0",18878
14286,"03 04 08.75","+61 42 27.1",6.64,"G4V",18757
14287,"03 04 09.40","+38 04 46.2",6.86,"B9",18950
14293,"03 04 16.48","-07 36 03.2",5.26,"A8V",19107
14303,"03 04 27.84","+40 17 34.2",6.91,"K0",18971
14315,"03 04 38.05","+01 51 49.0",6.05,"K0III",19121
14318,"03 04 40.65","+15 51 22.5",6.37,"K3III",19080
14328,"03 04 47.79","+53 30 23.2",2.91,"G8III+...",18925
14345,"03 04 59.22","-74 19 11.8",6.81,"K2III",19755
14354,"03 05 10.50","+38 50 25.9",3.32,"M3IIIvar",19058
14355,"03 05 11.26","-08 16 27.5",6.3,"K0",19210
14365,"03 05 21.03","+40 34 55.9",6.06,"K0III",19066
14376,"03 05 26.69","+25 15 18.7",5.45,"B7Vn",19134
14382,"03 05 32.43","+56 42 20.0",4.77,"K0II-III",18970
14387,"03 05 35.47","+36 47 55.6",6.99,"A2",19102
14392,"03 05 40.15","+56 04 08.5",6.1,"G9III",18991
14402,"03 05 46.40","+43 42 08.9",6.9,"F5",19091
14417,"03 06 07.95","+79 25 06.6",5.49,"F7IV comp SB",18438
14439,"03 06 23.69","+13 11 14.6",5.64,"K3III",19270
14455,"03 06 33.36","-10 15 07.0",6.69,"G5",19366
14456,"03 06 33.49","-06 05 18.8",5.23,"M3III",19349
14468,"03 06 43.28","-72 01 29.7",6.99,"K2III",19890
14494,"03 07 12.83","-01 48 09.8",6.95,"G5",19411
14501,"03 07 18.58","-13 45 40.1",6.97,"G3V",19467
14502,"03 07 19.02","+64 03 27.4",5.89,"B9V",19065
14514,"03 07 25.69","+17 52 47.9",6.13,"B1.5V",19374
14521,"03 07 31.90","-78 59 21.9",5.67,"F2II-III",20313
14544,"03 07 47.34","+47 18 31.3",6.38,"A3Vnn",19279
14547,"03 07 49.00","-69 15 53.8",6.12,"K1III",19940
14551,"03 07 50.80","-27 49 52.0",6.18,"A3V",19545
14566,"03 08 03.83","+52 12 48.8",6.33,"B5V",19268
14576,"03 08 10.13","+40 57 20.3",2.09,"B8V",19356
14586,"03 08 21.09","+18 47 42.3",6.24,"M0III",19460
14592,"03 08 25.63","+57 00 47.5",6.64,"G0",19256
14607,"03 08 38.79","+08 28 15.2",6.28,"G9III",19525
14619,"03 08 50.17","-64 33 55.6",6.8,"A9III",19939
14626,"03 08 54.18","+62 23 04.5",6.47,"B1V:e",19243
14632,"03 09 02.88","+49 36 48.6",4.05,"G0V",19373
14649,"03 09 20.10","+20 45 40.1",6.41,"K2",19549
14655,"03 09 22.15","+64 17 58.9",6.84,"G5",19267
14666,"03 09 28.22","+37 18 05.6",6.95,"K0",19509
14668,"03 09 29.63","+44 51 28.4",3.79,"K0III",19476
14672,"03 09 34.61","+19 22 50.7",6.86,"A0",19568
14677,"03 09 36.73","+29 04 37.6",5.74,"B8III",19548
14709,"03 10 03.26","-63 54 49.1",6.65,"A3III/IV",20060
14719,"03 10 08.83","+27 49 11.6",6.42,"A0V",19600
14739,"03 10 19.23","-74 17 52.0",6.9,"F6/F7V",20335
14748,"03 10 27.04","+26 53 45.9",6.02,"K3III",19637
14749,"03 10 27.24","-48 44 02.7",6.11,"K1III",19948
14757,"03 10 35.35","-23 44 19.0",6.37,"K0III",19826
14764,"03 10 38.78","+11 52 21.7",5.97,"B8V",19698
14765,"03 10 39.24","-57 48 35.3",6.63,"G8III",20037
14778,"03 10 49.14","+10 00 21.1",6.95,"K2",19723
14786,"03 10 55.43","+02 18 57.3",6.78,"K0",19760
14791,"03 11 00.80","+64 53 46.7",6.5,"A4V",19439
14797,"03 11 05.27","-13 15 51.5",6.36,"F6III",19850
14814,"03 11 16.74","-16 01 29.8",6.25,"K2III",19887
14817,"03 11 17.40","+39 36 41.7",4.61,"K1III",19656
14819,"03 11 18.78","-03 48 41.6",6.08,"M1III",19836
14821,"03 11 21.93","+13 02 52.1",6.11,"K0IIIp",19789
14838,"03 11 37.67","+19 43 36.1",4.35,"K2IIIvar",19787
14844,"03 11 42.85","+81 28 14.6",5.92,"A7III-IV",18778
14845,"03 11 42.88","+52 09 48.7",6.9,"B5",19624
14862,"03 11 56.24","+74 23 37.9",4.85,"A2Vnn",19275
14868,"03 11 57.63","-39 21 57.1",6.98,"K0III",20035
14871,"03 11 58.82","+46 07 43.2",6.96,"F0",19684
14879,"03 12 04.28","-28 59 20.8",3.8,"F8V",20010
14887,"03 12 09.54","+42 22 33.4",6.15,"B4V",19736
14893,"03 12 14.24","+27 15 25.2",5.78,"B9p Si",19832
14913,"03 12 25.68","-44 25 10.8",5.92,"F3V+...",20121
14914,"03 12 26.36","+47 43 33.9",6.32,"K5III",19735
14915,"03 12 26.37","+06 39 39.2",5.55,"K1IIIpe+...",19926
14925,"03 12 30.91","-32 23 48.0",6.97,"K1IICN...",20071
14930,"03 12 33.14","-57 19 17.7",5.71,"C5II",20234
14954,"03 12 46.32","-01 11 45.4",5.07,"F8V",19994
14970,"03 13 00.00","-20 01 37.5",6.74,"K2III",20069
14972,"03 13 01.49","-35 56 37.3",6.29,"B9IV/V",20144
14988,"03 13 10.56","+31 04 08.7",6.94,"K2",19925
15004,"03 13 23.86","+48 10 37.2",5.93,"G9III",19845
15024,"03 13 37.94","-29 48 14.8",6.17,"K1IICN...",20176
15039,"03 13 50.19","-38 48 33.4",6.88,"A2/A3III/IV",20232
15048,"03 13 54.87","+18 58 23.9",6.51,"K5",20043
15072,"03 14 17.12","+22 57 13.6",6.76,"K0",20078
15073,"03 14 17.19","+74 14 35.2",6.84,"M2III",19534
15092,"03 14 40.07","-35 33 27.7",6.88,"G2V",20301
15108,"03 14 53.02","-59 30 48.6",6.75,"K3III",20485
15110,"03 14 54.11","+21 02 40.7",4.87,"A1V",20150
15118,"03 14 56.55","+42 30 13.0",6.07,"K2III",20063
15125,"03 15 00.28","-26 06 01.5",6.25,"A1V",20293
15131,"03 15 06.50","-45 39 54.6",6.75,"G3V",20407
15135,"03 15 07.56","+73 52 05.6",6.57,"K0",19615
15140,"03 15 11.07","-64 26 37.5",6.62,"F5m",20586
15154,"03 15 20.45","+30 33 24.0",5.61,"A1Vs",20149
15173,"03 15 31.75","-08 46 12.2",6.61,"K0",20290
15187,"03 15 45.42","+80 07 49.8",6.7,"K0",19321
15191,"03 15 47.15","+32 51 24.0",6.3,"F4Vwvar",20193
15192,"03 15 47.97","+57 08 26.3",5.79,"A0Ia",20041
15193,"03 15 48.65","+50 57 21.5",6.46,"A0",20096
15197,"03 15 50.03","-08 49 11.4",4.8,"A5m",20320
15201,"03 15 57.36","-77 23 19.0",5.51,"F4III",21024
15203,"03 16 00.85","-05 55 07.3",6.17,"B9V",20319
15204,"03 16 01.83","+34 41 19.0",6.25,"A1m",20210
15209,"03 16 04.43","+45 20 46.4",6.15,"M2III",20162
15218,"03 16 11.29","-30 49 39.0",6.64,"B9V",20423
15219,"03 16 12.20","+50 56 15.8",5.04,"G5II",20123
15230,"03 16 21.71","-05 43 49.5",6.3,"K5",20356
15232,"03 16 24.89","+66 22 49.2",6.7,"A0",19967
15241,"03 16 35.19","+32 11 03.2",5.98,"G8IV",20277
15244,"03 16 35.77","-09 09 17.1",6.14,"F1V",20395
15279,"03 17 08.98","+06 47 59.9",6.96,"A3",20402
15282,"03 17 11.45","+40 28 59.0",6.44,"B9p",20283
15291,"03 17 17.41","-23 31 13.0",6.61,"K3III",20520
15296,"03 17 21.62","+78 52 30.0",6.76,"F0",19597
15305,"03 17 26.60","-47 45 06.3",5.84,"K2III",20640
15309,"03 17 31.54","+65 39 30.1",6.41,"A3V",20104
15323,"03 17 40.12","+31 07 37.9",6.4,"G0",20367
15330,"03 17 44.47","-62 34 36.8",5.53,"G2V",20766
15334,"03 17 45.74","+39 17 00.3",5.97,"A2IV",20346
15338,"03 17 47.33","+44 01 30.3",5.49,"B8V...",20315
15353,"03 17 58.99","-66 55 36.8",6.03,"A3V",20888
15357,"03 18 02.49","-28 47 49.3",5.93,"F3V+...",20606
15371,"03 18 11.14","-62 30 28.6",5.24,"G1V",20807
15382,"03 18 22.10","-22 30 40.1",4.86,"K0III",20610
15383,"03 18 22.28","-00 55 48.5",5.62,"K1IV",20559
15399,"03 18 32.52","+44 43 10.6",6.95,"A0",20393
15404,"03 18 37.72","+50 13 20.0",5.16,"B3V",20365
15411,"03 18 41.07","-18 33 34.7",5.72,"F3V",20631
15416,"03 18 43.82","+34 13 21.6",4.85,"K2II",20468
15444,"03 19 07.62","+50 05 42.1",5.05,"B5V",20418
15457,"03 19 21.54","+03 22 11.9",4.84,"G5Vvar",20630
15474,"03 19 30.97","-21 45 28.6",3.7,"M3/M4III",20720
15479,"03 19 34.90","-24 07 22.2",5.63,"M1III",20729
15510,"03 19 53.22","-43 04 17.6",4.26,"G8V",20794
15514,"03 19 55.81","+27 04 16.7",5.91,"G8IV",20618
15520,"03 19 59.26","+65 39 08.4",4.74,"B2.5Vne",20336
15523,"03 20 01.84","+01 29 01.0",6.73,"K0",20699
15534,"03 20 06.93","+69 43 52.8",6.6,"A0",20273
15547,"03 20 19.58","+77 44 05.6",5.44,"A6V",19978
15549,"03 20 20.37","+29 02 54.6",4.47,"K2II-III",20644
15555,"03 20 23.32","+19 52 21.8",6.9,"K0",20681
15557,"03 20 25.57","+25 39 46.7",6.14,"K3III:",20663
15582,"03 20 44.56","-26 17 17.3",6.92,"F2V",20852
15585,"03 20 45.18","-26 36 23.6",6.4,"F7V",20853
15597,"03 20 51.46","+20 30 34.1",6.78,"K2",20716
15615,"03 21 03.29","+73 41 57.0",6.87,"K0",20255
15619,"03 21 06.77","+03 40 32.5",5.7,"G8.5III",20791
15627,"03 21 13.61","+21 08 49.7",5.27,"B5IV",20756
15634,"03 21 19.05","+61 59 57.2",6.76,"B8",20536
15643,"03 21 24.03","-23 38 06.3",5.5,"G8III",20894
15648,"03 21 26.61","+43 19 46.7",4.96,"A3V",20677
15655,"03 21 33.43","-47 46 35.9",6.4,"K0III",21011
15660,"03 21 41.91","-20 19 28.6",6.69,"A0V",20911
15669,"03 21 52.37","+49 04 15.8",5.94,"F6V",20675
15692,"03 22 09.37","-46 45 47.5",6.9,"K3III",21068
15696,"03 22 11.89","+27 36 27.3",5.55,"G5III",20825
15700,"03 22 16.28","-25 35 16.1",6.36,"A1V",20980
15702,"03 22 16.43","-21 06 00.3",6.73,"K2II",20965
15737,"03 22 45.27","+20 44 31.6",5.1,"K3III",20893
15770,"03 23 13.18","+49 12 48.0",5.32,"B5V",20809
15775,"03 23 17.34","-17 26 22.4",6.7,"K0III",21066
15776,"03 23 17.70","-07 47 36.8",6.2,"G2V",21019
15795,"03 23 32.80","+58 43 19.4",6.58,"K0II-III",20762
15799,"03 23 35.23","-40 04 35.4",6.9,"K0V",21175
15800,"03 23 36.31","+00 54 37.1",6.47,"K0",21032
15807,"03 23 38.99","+04 52 55.6",6.37,"G5III",21018
15816,"03 23 44.61","-32 42 25.5",6.51,"K3III",21149
15838,"03 24 00.90","+19 54 25.4",6.83,"K5",21006
15840,"03 24 02.28","-69 37 28.7",6.14,"A4:V+...",21563
15843,"03 24 04.10","+74 10 16.9",6.93,"F5",20507
15850,"03 24 10.11","+12 37 46.7",6.03,"K0III-IV",21051
15861,"03 24 18.46","+24 43 27.1",5.5,"K4III",21017
15863,"03 24 19.35","+49 51 40.5",1.79,"F5Ib",20902
15869,"03 24 24.61","-13 59 34.6",6.87,"A2/A3IV/V",21160
15870,"03 24 26.11","+20 48 12.6",6.07,"A1V",21050
15876,"03 24 29.68","+33 32 09.7",5.78,"A0V",20995
15882,"03 24 34.47","+22 02 25.3",6.91,"A0",21049
15884,"03 24 36.21","-51 03 45.7",6.5,"A0V",21360
15886,"03 24 36.99","-76 44 46.0",6.8,"A2m...",21940
15890,"03 24 40.56","+64 35 09.6",5.13,"M0II",20797
15900,"03 24 48.84","+09 01 44.6",3.61,"G8III",21120
15925,"03 25 09.39","+41 15 26.2",6.52,"A0V",21038
15943,"03 25 18.26","+58 41 40.2",6.85,"K1III",20930
15946,"03 25 20.31","-04 39 19.0",6.99,"G5",21215
15968,"03 25 36.25","-69 20 11.7",5.96,"F3V",21722
15979,"03 25 47.85","+53 55 17.8",6.51,"A9III-IV",21004
15987,"03 25 55.82","-35 55 15.1",6.39,"A1IV",21423
15988,"03 25 57.36","+49 07 15.0",6.09,"B7V",21071
16015,"03 26 11.77","-41 38 13.2",6.33,"A1V",21473
16029,"03 26 22.52","-27 19 03.4",5.93,"K0III",21430
16042,"03 26 35.36","+28 42 55.2",6.47,"G5IV",21242
16075,"03 27 02.31","+34 25 46.2",6.76,"G0",21269
16077,"03 27 03.20","+18 45 23.6",6.54,"A3V",21335
16079,"03 27 05.15","+48 12 20.1",6.85,"B8.5Vn",21181
16083,"03 27 10.12","+09 43 58.0",3.73,"B9Vn",21364
16095,"03 27 18.67","+12 44 07.1",6.29,"A0Vs",21379
16112,"03 27 33.37","-35 40 52.8",5.71,"K2III",21574
16118,"03 27 38.95","+49 35 59.9",6.93,"B9V",21238
16128,"03 27 43.75","-43 51 21.4",6.73,"G0IV",21626
16142,"03 28 00.95","-11 17 11.4",5.74,"K2III",21530
16143,"03 28 01.40","+20 27 51.4",6.72,"A3+...",21437
16147,"03 28 03.05","+49 03 46.6",4.99,"B5V",21278
16156,"03 28 11.50","-35 51 12.3",6.49,"A1V",21635
16163,"03 28 17.27","-57 52 55.9",6.69,"K5III",21826
16165,"03 28 18.23","+44 22 38.1",6.52,"K0",21346
16168,"03 28 20.68","+33 48 27.7",5.72,"A2V",21402
16177,"03 28 23.56","+60 15 20.6",6.49,"B9V",21203
16181,"03 28 26.57","+22 48 15.4",6.03,"K0IV",21467
16193,"03 28 36.34","+11 23 26.2",6.74,"G5",21524
16210,"03 28 52.31","+49 50 54.4",5.58,"B6Vn",21362
16226,"03 29 03.80","+03 14 55.3",6.41,"G5",21585
16228,"03 29 04.13","+59 56 25.2",4.21,"B9Ia",21291
16244,"03 29 22.03","+49 30 32.5",4.67,"B3V",21428
16245,"03 29 22.19","-62 56 18.4",4.71,"F5IV-V",22001
16252,"03 29 26.26","+46 56 16.6",6.21,"B7V",21455
16261,"03 29 35.00","-23 28 32.9",6.88,"F3IV/V",21737
16263,"03 29 36.02","-12 40 29.1",5.57,"A5III/IV",21688
16266,"03 29 39.19","-06 48 15.3",6.01,"G5",21665
16274,"03 29 49.06","-22 30 19.9",6.79,"K1III",21760
16281,"03 29 54.75","+58 52 43.5",4.55,"A0Ia SB:",21389
16285,"03 29 55.19","-42 38 03.3",5.76,"A5V",21882
16290,"03 29 58.93","-78 21 06.4",5.68,"G8III",22676
16292,"03 30 00.23","+55 27 06.6",5.09,"A1V",21447
16303,"03 30 10.93","+59 21 57.8",6.14,"A2V",21427
16308,"03 30 13.22","-11 38 46.0",6.77,"G5",21779
16310,"03 30 13.59","-41 22 10.3",6.12,"F7V",21899
16319,"03 30 19.39","+71 51 50.0",6.37,"M2III",21179
16322,"03 30 24.48","+11 20 11.3",5.14,"A0Vn",21686
16335,"03 30 34.48","+47 59 42.6",4.36,"K3III",21552
16339,"03 30 36.90","-47 22 30.6",5.98,"A2V",21981
16340,"03 30 36.93","+48 06 13.2",5.82,"B8V",21551
16341,"03 30 37.05","-05 04 30.6",4.74,"B9Vs",21790
16350,"03 30 40.57","-09 43 49.2",6.86,"K0",21811
16357,"03 30 45.02","+42 12 08.9",6.92,"F2",21589
16358,"03 30 45.40","+06 11 19.5",5.93,"G8III",21755
16368,"03 30 51.68","-66 29 23.0",5.81,"B8V",22252
16369,"03 30 52.37","+12 56 12.1",4.14,"K0II-III...",21754
16370,"03 30 52.47","-62 00 28.8",6.79,"F7V",22166
16389,"03 31 03.99","-00 28 52.1",6.64,"A0",21822
16410,"03 31 19.87","+27 34 18.7",6.99,"A3V",
16411,"03 31 20.73","+27 34 18.8",6.61,"A2V",21743
16414,"03 31 21.13","+17 56 17.4",6.79,"K2",21787
16424,"03 31 29.35","+49 12 35.2",6.29,"A0Vn",21620
16425,"03 31 30.28","+40 45 36.1",6.5,"A5",21684
16430,"03 31 33.12","+47 51 44.9",6.77,"B8.5V",21641
16447,"03 31 49.04","+49 24 03.9",6.41,"B9III",21661
16449,"03 31 53.61","-25 36 50.8",6.38,"A3IV/V",21997
16450,"03 31 53.93","+48 44 06.8",6.62,"B8V",21672
16470,"03 32 08.58","+48 01 24.7",5.47,"B8IIIp Mn",21699
16478,"03 32 11.92","+11 32 33.1",6.79,"A0",21915
16487,"03 32 17.58","+40 55 14.7",6.73,"B9",21795
16489,"03 32 19.72","+84 54 40.9",5.62,"G3IIp...",20084
16499,"03 32 26.30","+46 03 25.4",5.3,"F4IIIvar",21770
16509,"03 32 34.72","-50 22 43.9",5.67,"K3III",22231
16511,"03 32 35.93","+09 22 24.8",5.76,"B9IV",21933
16516,"03 32 38.98","+44 51 20.8",6.42,"B2IV",21803
16518,"03 32 40.02","+35 27 42.2",5.91,"B1V",21856
16531,"03 32 51.46","-61 01 01.2",6.42,"K0III",22382
16537,"03 32 56.42","-09 27 29.9",3.72,"K2V",22049
16570,"03 33 20.87","+47 57 00.5",6.6,"F0",21844
16572,"03 33 21.20","+13 46 56.9",6.9,"G5",22017
16587,"03 33 32.19","+58 45 55.3",6.45,"A4III",21769
16591,"03 33 35.02","+39 53 58.5",5.79,"A5m",21912
16599,"03 33 39.10","+54 58 29.5",5.98,"A3V",21819
16602,"03 33 41.23","+57 52 07.1",6.37,"F7V",21794
16611,"03 33 47.25","-21 37 58.1",4.26,"B9V",22203
16628,"03 33 56.81","-31 04 49.1",6.2,"F5V",22262
16641,"03 34 08.32","+17 50 00.9",6.14,"K1IVe...",22072
16661,"03 34 24.75","-65 45 51.3",6.74,"A3V",22634
16664,"03 34 26.62","+24 27 52.1",5.95,"A3V",22091
16672,"03 34 33.58","-31 52 29.3",6.39,"K3III",22322
16677,"03 34 37.46","-09 52 05.8",6.25,"A2V",22243
16682,"03 34 38.34","-62 33 26.5",6.97,"A4Vs...",22597
16690,"03 34 42.84","-54 19 20.6",6.84,"F3/F5IV",22515
16695,"03 34 49.10","+06 25 03.8",6.49,"G0",22211
16697,"03 34 52.37","-25 34 58.5",6.48,"K0III",22333
16712,"03 35 01.04","+60 02 29.0",6.43,"F5V",21903
16713,"03 35 01.16","+32 01 00.7",6.66,"F2IV-V...",22124
16725,"03 35 12.29","+73 20 49.2",6.56,"A0Vn",21610
16757,"03 35 37.83","+31 40 49.6",6.86,"F0",22195
16779,"03 35 57.25","-05 07 29.8",6.49,"K0",22379
16780,"03 35 57.65","-11 11 38.3",5.56,"G7III:",22409
16782,"03 35 58.47","+47 05 27.9",6.89,"B8V",22136
16803,"03 36 17.39","-17 28 01.3",5.24,"B8/B9III",22470
16810,"03 36 21.91","+55 53 12.7",6.81,"B8",22105
16815,"03 36 25.03","-79 05 55.1",6.84,"K0/K1III",23549
16826,"03 36 29.36","+48 11 33.7",4.32,"B5Ve",22192
16827,"03 36 30.18","-78 19 23.1",6.29,"K2III",23474
16835,"03 36 39.79","+29 13 26.6",6.53,"A5",22317
16843,"03 36 46.91","+34 20 51.6",6.88,"K0",22306
16846,"03 36 47.31","+00 35 17.4",5.82,"G5IV/V +K1IV",22468
16851,"03 36 51.39","-33 46 50.6",6.93,"F3V",22594
16852,"03 36 52.52","+00 24 10.2",4.29,"F9V",22484
16859,"03 36 58.03","+23 12 40.0",6.72,"A2p",22374
16870,"03 37 05.68","-40 16 28.2",4.57,"K0III",22663
16900,"03 37 28.02","+31 07 12.6",6.96,"F5",22418
16914,"03 37 41.10","-74 49 21.2",6.89,"F0III",23358
16917,"03 37 44.15","+56 44 21.8",6.53,"B0.5III",22253
16924,"03 37 47.82","+15 25 50.2",6.4,"A5IV",22522
16938,"03 38 00.17","+42 34 58.4",6.41,"B8Vn",22402
16959,"03 38 10.21","-59 46 35.4",6.96,"F3V",22989
16974,"03 38 19.70","+56 55 58.1",6.29,"B9p",22316
16986,"03 38 26.92","+49 12 20.6",6.87,"B9",22417
16989,"03 38 29.25","-07 23 30.2",5.86,"G5III:",22675
17000,"03 38 40.71","+22 39 35.0",6.71,"A0",22578
17007,"03 38 47.66","-27 56 35.2",6.01,"A0V",22789
17022,"03 38 57.34","+42 32 19.0",6.73,"G0",22521
17026,"03 39 00.06","+20 54 57.1",6.5,"Am...",22615
17027,"03 39 01.13","-05 37 32.5",5.97,"K1V",22713
17049,"03 39 17.05","+13 53 30.3",6.67,"G5",22682
17056,"03 39 25.10","+75 44 22.6",6.25,"G9III-IV",21970
17057,"03 39 25.42","-10 26 13.3",6.19,"G5",22799
17058,"03 39 25.73","+16 32 12.4",6.18,"K0III",22695
17075,"03 39 32.64","+59 26 43.5",6.9,"K2III-IV",22427
17082,"03 39 36.72","-17 21 54.2",6.86,"K0III",22836
17086,"03 39 38.35","-03 23 34.2",6.22,"G5",22798
17089,"03 39 39.23","-56 14 04.7",6.85,"M2III",23100
17098,"03 39 45.16","+56 22 58.9",6.53,"A2",22489
17099,"03 39 45.46","-40 21 08.0",6.55,"A3V",22986
17101,"03 39 47.16","-06 46 38.0",6.96,"A2",22820
17103,"03 39 51.14","+03 03 24.6",5.55,"G6III:",22796
17108,"03 39 53.46","-28 30 40.4",6.94,"F8/G0V",22924
17118,"03 39 58.64","+63 52 14.7",6.81,"F5",22399
17120,"03 39 59.55","-01 07 16.4",6.12,"G5",22819
17129,"03 40 07.24","+34 06 59.3",6.82,"F5",22692
17135,"03 40 10.77","-09 02 20.9",6.92,"F5",22892
17136,"03 40 11.44","-15 13 35.4",6.35,"G8/K0III+..",22905
17138,"03 40 12.48","-19 35 34.3",6.91,"K0III/IV",22921
17147,"03 40 21.66","-03 12 59.3",6.68,"F9V",22879
17155,"03 40 28.04","+05 07 33.2",6.61,"G5",22878
17167,"03 40 38.33","-05 12 38.5",5.53,"B9IIIp Si",22920
17168,"03 40 38.76","+28 46 24.3",6.86,"A0...",22766
17170,"03 40 40.16","-19 28 22.8",6.82,"K2IIICN...",22983
17181,"03 40 46.30","+25 19 46.3",6.11,"A2IV",22805
17183,"03 40 47.21","-02 19 55.7",6.96,"G5",22918
17203,"03 41 07.84","+37 34 49.0",5.55,"B7Vn",22780
17211,"03 41 11.90","+58 50 42.3",6.84,"F0",22601
