HIP,HD,HR,Bayer,Fl,Cst
93903,178475,7262,"iot",18,"Lyr"
94713,180809,7314,"the",21,"Lyr"
94481,180163,7298,"eta",20,"Lyr"
92862,175865,7157,"R",13,"Lyr"
90191,169702,6903,"mu.",2,"Lyr"
93408,177196,7215," ",16,"Lyr"
93713,178207,7251," ",51,"Dra"
96441,185395,7469,"the",13,"Cyg"
96901,186427,7504,"c",16,"Cyg"
96895,186408,7503,"c",16,"Cyg"
95853,184006,7420,"iot",10,"Cyg"
95656,183534,7408," ",7,"Cyg"
97635,188056,7576,"d",20,"Cyg"
94779,181276,7328,"kap",1,"Cyg"
94302,180006,7295," ",53,"Dra"
94490,180610,7309," ",54,"Dra"
92204,174343,," ",205,"Dra"
91755,173524,7049,"c",46,"Dra"
90905,171635,6978,"d",45,"Dra"
93340,177249,7218," ",49,"Dra"
92997,176408,7175," ",48,"Dra"
92512,175306,7125,"omi",47,"Dra"
90156,170073,6923,"b",39,"Dra"
89348,168151,6850," ",36,"Dra"
104060,200905,8079,"ksi",62,"Cyg"
103089,199081,8001," ",57,"Cyg"
103732,200310,8053," ",60,"Cyg"
103632,200120,8047,"f01",59,"Cyg"
104194,201251,8089,"f02",63,"Cyg"
102724,198478,7977," ",55,"Cyg"
101243,195774,7851,"ome02",46,"Cyg"
102177,197511,7929," ",51,"Cyg"
99655,192696,7740," ",33,"Cyg"
102431,198084,7955,"ups01",,"Cep"
105199,203280,8162,"alf",5,"Cep"
102422,198149,7957,"eta",3,"Cep"
109857,211336,8494,"eps",23,"Cep"
108165,208501,8371," ",13,"Cep"
108772,209481,8406," ",14,"Cep"
109492,210745,8465,"zet",21,"Cep"
109556,210839,8469,"lam",22,"Cep"
110988,213307,,"del",27,"Cep"
110991,213306,8571,"del",27,"Cep"
107259,206936,8316,"mu.",,"Cep"
108925,209744,," ",15,"Cep"
107586,207528,8339," ",12,"Cep"
107418,207260,8334,"nu.",10,"Cep"
110103,211833,8511," ",25,"Cep"
111797,214734,8627," ",30,"Cep"
109017,209975,8428," ",19,"Cep"
109005,209960,8426," ",20,"Cep"
108924,209772,8416," ",18,"Cep"
110817,213087,8561," ",26,"Cep"
112724,216228,8694,"iot",32,"Cep"
115088,219916,8872,"omi",34,"Cep"
106801,206165,8279," ",9,"Cep"
108317,208816,8383,"VV",,"Cep"
108917,209790,8417,"ksi",17,"Cep"
105268,203467,8171," ",6,"Cep"
105972,204770,8227," ",7,"Cep"
109400,210807,8468," ",24,"Cep"
111532,214470,8615," ",31,"Cep"
114222,218658,8819,"pi.",33,"Cep"
97870,188665,7608," ",23,"Cyg"
98962,191277,7701," ",66,"Dra"
100221,193964,7792," ",71,"Dra"
101093,195725,7850,"the",2,"Cep"
99500,192455,7727," ",68,"Dra"
102253,197950,7945," ",4,"Cep"
98658,190713,7682," ",65,"Dra"
98583,190544,7676,"e",64,"Dra"
98702,190940,7685,"rho",67,"Dra"
100261,194258,7804,"AC",,"Dra"
97433,188119,7582,"eps",63,"Dra"
94140,179933,7290," ",55,"Dra"
95081,182564,7371,"pi.",58,"Dra"
94376,180711,7310,"del",57,"Dra"
90344,170693,6945," ",42,"Dra"
89594,169027,," ",38,"Dra"
89448,168653,6865," ",37,"Dra"
96100,185144,7462,"sig",61,"Dra"
94648,181984,7352,"tau",60,"Dra"
92782,176524,7180,"ups",52,"Dra"
89908,170000,6920,"phi",43,"Dra"
89937,170153,6927,"chi",44,"Dra"
92112,175286,7124," ",50,"Dra"
106032,205021,8238,"bet",8,"Cep"
107119,206952,8317," ",11,"Cep"
107230,207130,8324," ",78,"Dra"
101260,196502,7879," ",73,"Dra"
108535,209369,8400," ",16,"Cep"
116727,222404,8974,"gam",35,"Cep"
104105,201908,8112," ",77,"Dra"
111056,213798,8591,"rho",29,"Cep"
110787,213403,8578," ",28,"Cep"
118027,224309,9056,"V",,"Cep"
98401,190960,7686," ",69,"Dra"
95154,183556,,"UX",,"Dra"
99255,192907,7750,"kap",1,"Cep"
94083,180777,7312," ",59,"Dra"
88127,166865,6809," ",40,"Dra"
88136,166866,6810," ",41,"Dra"
101082,196925,7908," ",74,"Dra"
100965,196787,7901," ",75,"Dra"
102208,199095,8002," ",76,"Dra"
950,739,35,"the",,"Scl"
2210,2429,105,"eta",,"Scl"
183,224990,9091,"zet",,"Scl"
761,493,24,"kap01",,"Scl"
930,720,34,"kap02",,"Scl"
1708,1737,84,"iot",,"Scl"
116820,222433,8975,"mu.",,"Scl"
117452,223352,9016,"del",,"Scl"
1728,1760,85,"T",,"Cet"
1170,1038,48," ",7,"Cet"
3419,4128,188,"bet",16,"Cet"
3559,4307,203," ",18,"Cet"
3455,4188,194,"phi01",17,"Cet"
114119,218240,8789,"c01",86,"Aqr"
114375,218640,8817,"c03",89,"Aqr"
114341,218594,8812,"c02",88,"Aqr"
116118,221357,8932," ",100,"Aqr"
116247,221565,8939,"b03",101,"Aqr"
117629,223640,9031,"i03",108,"Aqr"
117218,223024,9002,"i02",107,"Aqr"
117089,222847,8998,"i01",106,"Aqr"
115669,220704,8906,"b02",99,"Aqr"
115438,220321,8892,"b01",98,"Aqr"
116889,222547,8980,"A01",103,"Aqr"
116901,222574,8982,"A02",104,"Aqr"
116904,222561,,"A02",104,"Aqr"
112529,215721,8670," ",68,"Aqr"
112211,215167,8649,"g",66,"Aqr"
113148,216640,8711," ",77,"Aqr"
113136,216627,8709,"del",76,"Aqr"
115404,220278,8890," ",97,"Aqr"
115126,219834,8866," ",94,"Aqr"
301,225132,9098," ",2,"Cet"
118178,224481,9065," ",1,"Cet"
910,693,33," ",6,"Cet"
116971,222661,8988,"ome02",105,"Aqr"
116758,222345,8968,"ome01",102,"Aqr"
1803,1835,88," ",9,"Cet"
355,225212,9103," ",3,"Cet"
1562,1522,74,"iot",8,"Cet"
117756,223807,9040,"h",,"Aqr"
115115,219832,8865,"psi03",95,"Aqr"
115033,219688,8858,"psi02",93,"Aqr"
154,224935,9089," ",30,"Psc"
443,28,3," ",33,"Psc"
117375,223252,9012," ",20,"Psc"
118209,224533,9067," ",27,"Psc"
145,224926,9087," ",29,"Psc"
635,315,11," ",4,"Cet"
664,352,14," ",5,"Cet"
117761,223825,9041," ",24,"Psc"
7345,9672,451," ",49,"Cet"
8102,10700,509,"tau",52,"Cet"
7450,9856,459," ",50,"Cet"
6670,8705,412," ",46,"Cet"
6748,8829,421," ",47,"Cet"
8497,11171,531,"chi",53,"Cet"
8645,11353,539,"zet",55,"Cet"
5364,6805,334,"eta",31,"Cet"
5296,6706,329," ",30,"Cet"
4587,5722,279,"phi04",23,"Cet"
4371,5437,267,"phi03",22,"Cet"
5121,6482,315," ",27,"Cet"
5164,6530,317," ",28,"Cet"
3909,4813,235,"phi02",19,"Cet"
4257,5268,255," ",21,"Cet"
5485,6976,346," ",32,"Cet"
5799,7439,366," ",37,"Cet"
6537,8512,402,"the",45,"Cet"
6539,8511,401," ",44,"Cet"
10642,14129,666," ",67,"Cet"
11261,15004,704," ",71,"Cet"
10826,14386,681,"omi",68,"Cet"
10305,13612,650," ",66,"Cet"
10234,13468,639," ",63,"Cet"
12048,16141,," ",79,"Cet"
12247,16400,771," ",81,"Cet"
12530,16765,790," ",84,"Cet"
12387,16582,779,"del",82,"Cet"
11046,14690,691," ",70,"Cet"
11791,15779,739," ",75,"Cet"
11021,14652,689," ",69,"Cet"
12706,16970,804,"gam",86,"Cet"
9155,12021,," ",58,"Cet"
9165,12020,," ",58,"Cet"
9631,12641,610," ",61,"Cet"
9589,12573,607," ",60,"Cet"
9353,12235,582," ",112,"Psc"
8833,11559,549,"ksi",111,"Psc"
9487,12446,595,"alf",113,"Psc"
10212,13421,635," ",64,"Cet"
10324,13611,649,"ksi01",65,"Cet"
4914,6203,296," ",25,"Cet"
2762,3196,142," ",13,"Cet"
2353,2637,117," ",12,"Cet"
5951,7672,373," ",39,"Cet"
5985,7727,," ",40,"Cet"
5594,7147,353," ",34,"Cet"
5833,7476,368," ",38,"Cet"
6226,8036,385," ",42,"Cet"
6429,8335,393," ",43,"Cet"
4147,5112,248," ",20,"Cet"
4979,6288,301," ",26,"Cet"
5315,6734,," ",29,"Cet"
5646,7218,," ",35,"Cet"
5510,7014,347," ",33,"Cet"
2787,3229,143," ",14,"Cet"
2994,3512,," ",15,"Cet"
2100,2273,101," ",10,"Cet"
2006,2114,97," ",44,"Psc"
5141,6479,313," ",77,"Psc"
5144,6480,314," ",77,"Psc"
3697,4526,216," ",60,"Psc"
3760,4627,221," ",62,"Psc"
3786,4656,224,"del",63,"Psc"
7884,10380,489,"nu.",106,"Psc"
6061,7804,378,"f",89,"Psc"
6815,8875,," ",95,"Psc"
7007,9138,434,"mu.",98,"Psc"
8198,10761,510,"omi",110,"Psc"
8588,11257,534," ",54,"Cet"
5346,6763,330,"e",80,"Psc"
5074,6386,307," ",73,"Psc"
5824,7446,367," ",88,"Psc"
5737,7344,361,"zet",86,"Psc"
5743,7345,362,"zet",86,"Psc"
4906,6186,294,"eps",71,"Psc"
5204,6557,319," ",75,"Psc"
7535,9919,463,"pi.",102,"Psc"
7364,9656,," ",100,"Psc"
7710,10135,," ",104,"Psc"
7436,9766,455," ",101,"Psc"
7740,10164,475," ",105,"Psc"
7097,9270,437,"eta",99,"Psc"
6981,9100,432," ",97,"Psc"
110778,212697,8544,"f",53,"Aqr"
111086,213236,8567," ",56,"Aqr"
112542,215766,8673,"tau01",69,"Aqr"
110602,212430,8534," ",50,"Aqr"
109624,210705,8462," ",39,"Aqr"
110179,211676,8508," ",45,"Aqr"
110000,211361,8496," ",42,"Aqr"
111200,213464,8583," ",58,"Aqr"
111123,213320,8573,"sig",57,"Aqr"
112716,216032,8679,"tau02",71,"Aqr"
113031,216494,8704," ",74,"Aqr"
112615,215874,8676," ",70,"Aqr"
113996,218060,8782,"h",83,"Aqr"
112961,216386,8698,"lam",73,"Aqr"
113674,217531,8757," ",81,"Aqr"
113127,216637,8710," ",78,"Aqr"
112179,215143,8647," ",67,"Aqr"
109139,209819,8418,"iot",33,"Aqr"
109472,210424,8452,"e",38,"Aqr"
109460,210422,," ",37,"Aqr"
110273,211838,8512,"rho",46,"Aqr"
110003,211391,8499,"the",43,"Aqr"
108868,209396,8401," ",30,"Aqr"
111710,214376,8610,"kap",63,"Aqr"
110023,211434,8504," ",44,"Aqr"
110578,212404,8533," ",51,"Aqr"
111394,213789,8590," ",60,"Aqr"
114855,219449,8841,"psi01",91,"Aqr"
114939,219576,8850,"chi",92,"Aqr"
114724,219215,8834,"phi",90,"Aqr"
115142,219877,8868," ",96,"Aqr"
113781,217701,8763," ",82,"Aqr"
116323,221675,8944," ",14,"Psc"
117491,223438,9022," ",21,"Psc"
116146,221409,8934," ",13,"Psc"
115768,220858,8912," ",9,"Psc"
115738,220825,8911,"kap",8,"Psc"
116422,221833,," ",15,"Psc"
116495,221950,8954," ",16,"Psc"
116928,222603,8984,"lam",18,"Psc"
113610,217428,8750," ",3,"Psc"
113521,217264,8742," ",2,"Psc"
111497,213998,8597,"eta",62,"Aqr"
113167,216701,8715," ",1,"Psc"
114273,218527,8807,"A",5,"Psc"
114971,219615,8852,"gam",6,"Psc"
115227,220009,8878,"b",7,"Psc"
115830,220954,8916,"the",10,"Psc"
113889,217891,8773,"bet",4,"Psc"
114520,218918,8826," ",59,"Peg"
107487,207005,8318," ",47,"Cap"
107382,206834,8311,"c",46,"Cap"
106786,205767,8264,"ksi",23,"Aqr"
106278,204867,8232,"bet",22,"Aqr"
108874,209409,8402,"omi",31,"Aqr"
108991,209625,8410," ",32,"Aqr"
110395,212061,8518,"gam",48,"Aqr"
110960,213051,8558,"zet01",55,"Aqr"
109074,209750,8414,"alf",34,"Aqr"
108691,209128,8390," ",28,"Aqr"
105767,203926,8199," ",21,"Aqr"
105729,203843,8192," ",20,"Aqr"
106942,206058,," ",24,"Aqr"
107144,206445,8287," ",26,"Aqr"
107575,207203,8328," ",11,"Peg"
106944,206067,8277,"d",25,"Aqr"
109068,209747,8413,"nu.",22,"Peg"
106856,205924,8270," ",4,"Peg"
107151,206487,8289," ",7,"Peg"
106783,205811,8265," ",3,"Peg"
110672,212571,8539,"pi.",52,"Aqr"
111062,213235,8566," ",37,"Peg"
110785,212754,8548," ",34,"Peg"
110882,212943,8551," ",35,"Peg"
110298,211924,8513," ",30,"Peg"
110986,213119,8562," ",36,"Peg"
113186,216735,8717,"rho",50,"Peg"
114347,218634,8815," ",57,"Peg"
114144,218329,8795," ",55,"Peg"
114389,218700,8821," ",58,"Peg"
112029,214923,8634,"zet",42,"Peg"
112935,216385,8697,"sig",49,"Peg"
113503,217232,8739," ",52,"Peg"
112447,215648,8665,"ksi",46,"Peg"
109427,210418,8450,"the",26,"Peg"
108612,209008,8385," ",18,"Peg"
108699,209167,8393," ",19,"Peg"
108875,209459,8404," ",21,"Peg"
108339,208565,8373," ",17,"Peg"
110386,212076,8520," ",31,"Peg"
117774,223855,9042," ",25,"Psc"
117683,223719,9033," ",22,"Psc"
117245,223075,9004,"TX",19,"Psc"
118268,224617,9072,"ome",28,"Psc"
117927,224103,9048," ",26,"Psc"
194,225003,9093,"c",32,"Psc"
186,224995,9092," ",31,"Psc"
2548,2913,132," ",51,"Psc"
2025,2140,," ",45,"Psc"
1319,1227,59," ",36,"Psc"
1645,1635,80,"d",41,"Psc"
1392,1317,," ",38,"Psc"
1196,1061,50," ",35,"Psc"
813,560,26," ",34,"Psc"
1772,1796,86," ",42,"Psc"
116771,222368,8969,"iot",17,"Psc"
117628,223637,9030," ",80,"Peg"
117020,222764,8991," ",77,"Peg"
117730,223781,9039," ",82,"Peg"
476,87,4," ",86,"Peg"
1067,886,39,"gam",88,"Peg"
3675,4482,213," ",58,"Psc"
5081,6397,308," ",72,"Psc"
2903,3379,155," ",53,"Psc"
3632,4408,211," ",57,"Psc"
3810,4676,225," ",64,"Psc"
5778,7374,364," ",87,"Psc"
6706,8723,413,"rho",93,"Psc"
6732,8763,414," ",94,"Psc"
5454,6903,339,"psi03",81,"Psc"
4267,5267,254," ",66,"Psc"
3685,4490,214," ",59,"Psc"
5310,6695,328,"psi02",79,"Psc"
5571,7087,351,"chi",84,"Psc"
5132,6457,311,"psi01",74,"Psc"
5131,6456,310,"psi01",74,"Psc"
1595,1563,," ",40,"Psc"
2224,2436,106," ",48,"Psc"
2219,2411,103,"TV",47,"Psc"
2213,2410,," ",46,"Psc"
2568,2910,131," ",52,"Psc"
729,448,22," ",87,"Peg"
1168,1013,45,"chi",89,"Peg"
3730,4568,217," ",61,"Psc"
3093,3651,166," ",54,"Psc"
3138,3690,167," ",55,"Psc"
4463,5516,271,"eta",38,"And"
4288,5286,258," ",36,"And"
3693,4502,215,"zet",34,"And"
4366,5382,262,"k",67,"Psc"
3885,4757,230,"i",65,"Psc"
115444,220363,8893," ",66,"Peg"
115919,221115,8923," ",70,"Peg"
113963,218045,8781,"alf",54,"Peg"
116592,222098,8960," ",74,"Peg"
116972,222683,," ",76,"Peg"
116611,222133,8963," ",75,"Peg"
117718,223768,9036,"phi",81,"Peg"
115407,220318,8891," ",65,"Peg"
116264,221615,8940," ",71,"Peg"
112358,215510,8660," ",45,"Peg"
111810,214567,8618," ",40,"Peg"
111884,214698,8624," ",41,"Peg"
113357,217014,8729," ",51,"Peg"
115623,220657,8905,"ups",68,"Peg"
115250,220061,8880,"tau",62,"Peg"
115806,220933,8915," ",69,"Peg"
114155,218356,8796," ",56,"Peg"
114526,218935,8827," ",60,"Peg"
114844,219477,8842," ",61,"Peg"
118131,224427,9064,"psi",84,"Peg"
171,224930,9088," ",85,"Peg"
3031,3546,163,"eps",30,"And"
3092,3627,165,"del",31,"And"
2355,2628,114," ",28,"And"
677,358,15,"alf",21,"And"
117500,223461,9025," ",79,"Peg"
117073,222842,8997," ",78,"Peg"
115271,220088,8882," ",63,"Peg"
115591,220599,8903," ",67,"Peg"
116310,221673,8943," ",72,"Peg"
116355,221758,8948," ",73,"Peg"
28010,40176,2087,"ksi",,"Col"
29034,42167,2177,"the",,"Col"
29807,43785,2256,"kap",,"Col"
28199,40494,2106,"gam",,"Col"
27628,39425,2040,"bet",,"Col"
28756,41534,2149," ",72,"Col"
27810,39764,2056,"lam",,"Col"
28098,40248,2092,"sig",,"Col"
30277,44762,2296,"del",,"Col"
30788,45813,2361,"lam",,"CMa"
30122,44402,2282,"zet",1,"CMa"
26634,37795,1956,"alf",,"Col"
27204,38666,1996,"mu.",,"Col"
26460,37495,1935,"nu.02",,"Col"
26412,37430,1926,"nu.01",,"Col"
28874,41698,2156,"S",,"Lep"
33977,53138,2653,"omi02",24,"CMa"
33152,50877,2580,"omi01",16,"CMa"
31125,46328,2387,"ksi01",4,"CMa"
31416,46933,2414,"ksi02",5,"CMa"
32504,49333,2509," ",12,"CMa"
33092,50707,2571," ",15,"CMa"
33248,51055,2588," ",17,"CMa"
33302,51199,2590,"pi.",19,"CMa"
33347,51309,2596,"iot",20,"CMa"
34045,53244,2657,"gam",23,"CMa"
31592,47205,2429,"nu.02",7,"CMa"
31564,47138,2423,"nu.01",6,"CMa"
31700,47442,2443,"nu.03",8,"CMa"
29048,42042,2168," ",19,"Lep"
30324,44743,2294,"bet",2,"CMa"
32349,48915,2491,"alf",9,"CMa"
32492,49229,2504," ",11,"CMa"
33345,51250,2593,"mu.",18,"CMa"
33160,50778,2574,"the",14,"CMa"
23474,32503,1634," ",1,"Lep"
23685,32887,1654,"eps",2,"Lep"
27072,38393,1983,"gam",13,"Lep"
26865,38090,1968," ",12,"Lep"
27654,39364,2035,"del",15,"Lep"
25853,36473,1849," ",10,"Lep"
25606,36079,1829,"bet",9,"Lep"
25985,36673,1865,"alf",11,"Lep"
21763,29755,1496," ",54,"Eri"
22881,31444,1581,"R",,"Eri"
22263,30495,1532," ",58,"Eri"
22325,30606,1538," ",59,"Eri"
22479,30814,1549," ",60,"Eri"
24305,33904,1702,"mu.",5,"Lep"
25202,35337,1783," ",8,"Lep"
24845,34816,1756,"lam",6,"Lep"
24327,33949,1705,"kap",4,"Lep"
24873,34863,1757,"nu.",7,"Lep"
24244,33802,1696,"iot",3,"Lep"
28816,41511,2148," ",17,"Lep"
28910,41695,2155,"the",18,"Lep"
28103,40136,2085,"eta",16,"Lep"
27288,38678,1998,"zet",14,"Lep"
28574,40967,2128," ",3,"Mon"
29885,43760,2255," ",6,"Mon"
30073,44112,2273," ",7,"Mon"
30867,45725,2356,"bet",11,"Mon"
28325,40536,2108," ",2,"Mon"
27366,38771,2004,"kap",53,"Ori"
25247,35369,1784,"e",29,"Ori"
26563,37507,1937,"d",49,"Ori"
25923,36512,1855,"ups",36,"Ori"
26241,37043,1899,"iot",44,"Ori"
26235,37041,1897,"the02",43,"Ori"
26224,37023,1896,"the01",41,"Ori"
26221,37022,1895,"the01",41,"Ori"
26220,37020,1893,"the01",41,"Ori"
28321,40535,2107," ",1,"Mon"
27658,39291,2031," ",55,"Ori"
29651,43232,2227,"gam",5,"Mon"
37379,61772,2959," ",140,"Pup"
37843,62864,3010," ",2,"Pup"
37842,62863,3009," ",2,"Pup"
37891,62952,3015," ",4,"Pup"
35487,57167,2788,"R",,"CMa"
36521,59693,,"U",,"Mon"
38382,64096,3064," ",9,"Pup"
38372,64077,3063," ",8,"Pup"
38048,63336,3029," ",5,"Pup"
37447,61935,2970,"alf",26,"Mon"
37088,61064,2927," ",25,"Mon"
34622,54810,2701," ",20,"Mon"
41375,71297,3321," ",2,"Hya"
41307,71155,3314,"C",,"Hya"
41211,70958,3297," ",1,"Hya"
39079,65695,3122," ",27,"Mon"
39863,67594,3188,"zet",29,"Mon"
42799,74280,3454,"eta",7,"Hya"
42402,73471,3418,"sig",5,"Hya"
39211,65953,3141," ",28,"Mon"
38373,63975,3059,"zet",13,"CMi"
38962,65345,3110," ",14,"CMi"
39311,66141,3145,"G",,"CMi"
40526,69267,3249,"bet",17,"Cnc"
33971,52918,2648," ",19,"Mon"
30772,45546,2344," ",10,"Mon"
30700,45418,," ",9,"Mon"
34769,55185,2714,"del",22,"Mon"
35080,56003,2744," ",24,"Mon"
34724,55057,2707," ",21,"Mon"
30720,45433,2335," ",78,"Ori"
30717,45416,2334," ",77,"Ori"
32578,49293,2506," ",18,"Mon"
31159,46241,2382," ",12,"Mon"
30419,44769,2298,"eps",8,"Mon"
30422,44770,2299,"eps",8,"Mon"
32533,49161,2503," ",17,"Mon"
32463,48977,2494," ",16,"Mon"
36641,59881,2880,"del01",7,"CMi"
36723,60111,2887,"del02",8,"CMi"
36812,60357,2901,"del03",9,"CMi"
37279,61421,2943,"alf",10,"CMi"
36265,58923,2851,"eta",5,"CMi"
36188,58715,2845,"bet",3,"CMi"
36284,58972,2854,"gam",4,"CMi"
37921,62832,3008," ",11,"CMi"
36041,58367,2828,"eps",2,"CMi"
35987,58187,2820," ",1,"CMi"
36425,59294,2864," ",6,"CMi"
35350,56537,2763,"lam",54,"Gem"
36760,60107,2886," ",68,"Gem"
21594,29503,1481,"l",53,"Eri"
23231,32045,1611,"S",64,"Eri"
23972,33328,1679,"lam",69,"Eri"
23221,32008,1608," ",63,"Eri"
21986,30020,1505," ",55,"Eri"
22024,30076,1508," ",56,"Eri"
23364,32249,1617,"psi",65,"Eri"
22701,31109,1560,"ome",61,"Eri"
19777,26846,1318,"A",39,"Eri"
19849,26965,1325,"omi02",40,"Eri"
19483,26409,1290," ",37,"Eri"
19587,26574,1298,"omi01",38,"Eri"
21296,29064,1451," ",47,"Eri"
21278,29009,1449," ",46,"Eri"
20271,27563,1363,"d",,"Eri"
20507,27861,1383,"ksi",42,"Eri"
21444,29248,1463,"nu.",48,"Eri"
21547,29391,1474,"c",51,"Eri"
24436,34085,1713,"bet",19,"Ori"
24674,34503,1735,"tau",20,"Ori"
26268,37077,1901," ",45,"Ori"
26237,37018,1892,"c",42,"Ori"
23875,33111,1666,"bet",67,"Eri"
23794,32964,1657," ",66,"Eri"
23941,33256,1673," ",68,"Eri"
22958,31512,1582,"b",62,"Eri"
25281,35411,1788,"eta",28,"Ori"
26549,37468,1931,"sig",48,"Ori"
26727,37742,1948,"zet",50,"Ori"
26311,37128,1903,"eps",46,"Ori"
26063,36695,1868,"VV",,"Ori"
25737,36167,1834," ",31,"Ori"
25282,35410,1787,"p",27,"Ori"
25930,36486,1852,"del",34,"Ori"
25044,35039,1765,"o",22,"Ori"
25302,35439,1789," ",25,"Ori"
26885,37984,1963,"b",51,"Ori"
25861,36351,1842,"n01",33,"Ori"
26126,36777,1872,"n02",38,"Ori"
26594,37490,1934,"ome",47,"Ori"
22109,30211,1520,"mu.",57,"Eri"
23680,32736,1648,"W",,"Ori"
21139,28749,1437," ",45,"Eri"
21515,29335,1469," ",49,"Eri"
23123,31767,1601,"pi.06",10,"Ori"
22797,31237,1567,"pi.05",8,"Ori"
22730,31139,1562," ",5,"Ori"
24817,34658,1746," ",21,"Ori"
24331,33856,1698,"rho",17,"Ori"
25473,35715,1811,"psi",30,"Ori"
25142,35149,1770,"m",23,"Ori"
25145,35148,,"m",23,"Ori"
25785,36217,1837,"CK",,"Ori"
25813,36267,1839,"A",32,"Ori"
25336,35468,1790,"gam",24,"Ori"
18141,24388,1202," ",30,"Eri"
18255,24554,1211,"w",32,"Eri"
17027,22713,1111," ",21,"Eri"
17167,22920,1121," ",22,"Eri"
16341,21790,1070,"v",17,"Eri"
17457,23363,1146," ",24,"Eri"
17506,23413,1150," ",25,"Eri"
18788,25340,1244," ",35,"Eri"
15383,20559,992," ",95,"Cet"
16852,22484,1101," ",10,"Tau"
14954,19994,962," ",94,"Cet"
15457,20630,996,"kap",96,"Cet"
15619,20791,1007," ",97,"Cet"
17103,22796,1115," ",12,"Tau"
18957,25558,1253," ",40,"Tau"
17563,23466,1153,"u",29,"Tau"
18089,24263,1199," ",31,"Tau"
20884,28375,1415," ",44,"Eri"
19554,26462,1292," ",45,"Tau"
22549,30836,1552,"pi.04",3,"Ori"
22449,30652,1543,"pi.03",1,"Ori"
22509,30739,1544,"pi.02",2,"Ori"
23879,33054,1664,"i",14,"Ori"
23852,33021,1662," ",13,"Ori"
23983,33254,1672,"h",16,"Ori"
21402,29140,1458,"d",88,"Tau"
22845,31295,1570,"pi.01",7,"Ori"
22833,31283,1569,"g",6,"Ori"
22957,31421,1580,"omi02",9,"Ori"
22667,30959,1556,"omi01",4,"Ori"
18907,25490,1251,"nu.",38,"Tau"
19719,26690,1309," ",46,"Tau"
19860,26912,1320,"mu.",49,"Tau"
20522,27820,1381,"r",66,"Tau"
19740,26722,1311," ",47,"Tau"
18724,25204,1239,"lam",35,"Tau"
21735,29589,1484," ",93,"Tau"
21589,29388,1473,"c01",90,"Tau"
20901,28355,1414,"b",79,"Tau"
21036,28556,1430," ",83,"Tau"
21273,28910,1444,"rho",86,"Tau"
21673,29479,1478,"sig01",91,"Tau"
21683,29488,1479,"sig02",92,"Tau"
21588,29375,1472," ",89,"Tau"
20219,27397,1351,"h",57,"Tau"
20873,28294,1408," ",76,"Tau"
20732,28100,1396,"pi.",73,"Tau"
20400,27628,1368," ",60,"Tau"
20261,27459,1356," ",58,"Tau"
20205,27371,1346,"gam",54,"Tau"
19877,26911,1319," ",48,"Tau"
20215,27383,," ",55,"Tau"
21082,28595,," ",84,"Tau"
20995,28485,1422," ",80,"Tau"
21039,28546,1428," ",81,"Tau"
21137,28677,1432," ",85,"Tau"
20894,28319,1412,"the02",78,"Tau"
20885,28307,1411,"the01",77,"Tau"
20713,28052,1394," ",71,"Tau"
20661,27991,1391," ",70,"Tau"
20877,28292,1407," ",75,"Tau"
21421,29139,1457,"alf",87,"Tau"
20484,27749,1376," ",63,"Tau"
20542,27819,1380," ",64,"Tau"
20455,27697,1373,"del",61,"Tau"
20648,27962,1389," ",68,"Tau"
28296,40446,2103," ",60,"Ori"
28271,40372,2100," ",59,"Ori"
27750,39400,2037," ",56,"Ori"
28814,41380,2145," ",66,"Ori"
28812,41361,2144," ",63,"Ori"
27386,38710,1999," ",52,"Ori"
27989,39801,2061,"alf",58,"Ori"
31216,46300,2385," ",13,"Mon"
30541,44990,2310,"T",,"Mon"
31385,46642,2404," ",14,"Mon"
31978,47839,2456,"S",15,"Mon"
29850,43525,2247,"l",75,"Ori"
28614,40932,2124,"mu.",61,"Ori"
29800,43386,2241,"k",74,"Ori"
29736,43247,2229," ",73,"Ori"
26366,37160,1907,"phi02",40,"Ori"
26176,36822,1876,"phi01",37,"Ori"
26207,36861,1879,"lam",39,"Ori"
29426,42560,2199,"ksi",70,"Ori"
29038,41753,2159,"nu.",67,"Ori"
29434,42545,2198,"f01",69,"Ori"
27511,38899,2010," ",134,"Tau"
27364,38622,1993," ",133,"Tau"
27743,39317,2033," ",137,"Tau"
27581,39019,2016," ",135,"Tau"
27316,38545,1989," ",131,"Tau"
27265,38478,1985," ",129,"Tau"
32404,48843,2489," ",32,"Gem"
32362,48737,2484,"ksi",31,"Gem"
32249,48433,2478," ",30,"Gem"
33202,50635,2564,"e",38,"Gem"
32814,49738,2525," ",35,"Gem"
30564,44984,2308,"BL",,"Ori"
31105,46031,2371," ",19,"Gem"
32753,49606,2519," ",33,"Gem"
31681,47105,2421,"gam",24,"Gem"
31525,46781,," ",23,"Gem"
32104,48097,2466," ",26,"Gem"
34440,54131,2684," ",45,"Gem"
34909,55383,2717," ",51,"Gem"
33715,52005,2615," ",41,"Gem"
35699,57423,2795," ",56,"Gem"
34088,52973,2650,"zet",43,"Gem"
34182,53257,2659," ",44,"Gem"
29704,43153,2223,"f02",72,"Ori"
31158,46136,," ",20,"Gem"
30883,45542,2343,"nu.",18,"Gem"
30769,45394,2330," ",16,"Gem"
29650,43042,2220," ",71,"Ori"
28691,41040,2130," ",64,"Ori"
28716,41117,2135,"chi02",62,"Ori"
